millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1977553,25.17,71889,7.16,25.40,2805.87,11.56,72256.21,2762.51,-204.590,-1001.953,289.551,-4.863,-4.298,-23.099,-5.850,-53.400,30.450,0,0,0,214,80,4.01,0.08,0.01,0,
1978944,25.16,71805,7.09,25.31,2814.89,11.53,72191.40,2769.61,156.250,-1238.281,-275.879,17.870,128.420,-13.893,-5.850,-45.000,47.850,0,0,0,215,80,4.00,0.08,0.01,0,
1980331,25.15,71722,7.00,25.27,2824.25,11.49,72096.44,2780.02,-129.883,-859.375,375.977,-15.847,-58.649,-9.397,37.650,-35.100,2.400,0,0,0,212,80,4.02,0.08,0.01,0,
1981717,25.14,71636,6.91,25.23,2833.62,11.45,72002.55,2790.32,-145.508,-990.723,211.426,-15.710,-250.137,-0.145,39.300,-38.700,16.500,0,0,0,213,80,4.02,0.08,0.01,0,
1983107,25.13,71553,6.84,25.20,2842.78,11.44,71940.00,2797.19,161.621,-1159.180,342.773,-36.588,102.237,3.718,-1.350,-54.600,23.550,0,0,0,213,80,4.01,0.08,0.01,0,
1984491,25.13,71472,6.77,25.16,2851.72,11.39,71846.42,2807.47,434.570,-1003.906,40.527,3.748,-10.527,-4.389,-8.100,-52.650,33.000,0,0,0,218,80,4.01,0.08,0.01,0,
1985878,25.12,71390,6.69,25.28,2860.79,11.36,71761.74,2816.79,-391.602,-1010.254,271.973,10.252,-241.519,9.130,-2.700,-46.650,49.200,0,0,0,209,80,4.00,0.08,0.01,0,
1987265,25.11,71309,6.62,25.19,2869.42,11.35,71672.97,2826.57,-101.074,-1075.684,233.887,13.481,-65.405,8.122,22.350,-40.200,52.350,0,0,0,213,80,4.02,0.08,0.01,0,
1988652,25.10,71233,6.55,25.19,2877.94,11.34,71615.89,2832.86,-194.824,-1136.719,62.012,-22.206,77.626,-29.496,28.800,-42.300,1.800,0,0,0,212,80,4.01,0.08,0.01,0,
1990038,25.09,71158,6.48,25.22,2886.37,11.36,71526.23,2842.75,114.258,-1102.539,-148.438,-11.076,67.344,-10.130,17.850,-49.800,5.550,0,0,0,214,80,4.01,0.08,0.01,0,
