millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
106579, 0,28.28052,27602,25.63403,112.07100,704.98511,27.38661,27608,27.75516,140.77000,704.54120,-17.08984, -7.81250, 1036.62110, 1.06107, 0.36641, -1.20611, 26.70000, -18.45000, 59.70000, 32.77404, 8,4.52071,0.08524,0.03014,0,20, 
108322, 0,28.27989,27602,25.62849,111.84600,704.98511,27.38630,27608,27.77759,140.65100,704.54120,-14.16016, 2.44141, 1034.66800, 1.27481, 0.63359, 1.10687, 27.75000, -16.80000, 60.60000, 32.96574, 8,4.44790,0.08387,0.02965,0,20, 
110061, 0,28.28020,27602,25.62851,110.80600,704.89526,27.38598,27608,27.77757,140.77000,704.54120,-7.32422, 6.34766, 1028.80860, -1.19084, 2.09924, -0.83206, 26.55000, -16.35000, 60.30000, 33.30119, 8,4.37721,0.08254,0.02918,0,20, 
111803, 0,28.28209,27603,25.64512,110.95400,704.98511,27.38253,27609,27.80537,141.00900,704.45135,-15.13672, -18.06641, 1038.08590, 0.53435, 1.91603, -0.18321, 26.70000, -15.75000, 60.75000, 33.25327, 8,4.30884,0.08125,0.02873,0,20, 
113544, 0,28.28336,27602,25.66170,111.32400,705.07495,27.37845,27608,27.82189,139.82300,704.54120,-13.18359, 0.00000, 1023.43740, -1.95420, 2.10687, -2.93130, 26.55000, -15.15000, 60.90000, 33.10950, 8,4.24261,0.08000,0.02828,0,20, 
115283, 3,28.27989,27603,25.66693,110.65900,704.98511,27.37532,27609,27.84410,140.29500,704.54120,-27.83203, -3.41797, 1031.25000, -1.46565, 3.74046, -3.12214, 25.50000, -14.10000, 60.60000, 33.06158, 8,4.17824,0.07879,0.02786,0,20, 
117026, 0,28.27673,27602,25.66119,111.39800,705.07495,27.36905,27608,27.83236,141.97200,704.45135,-10.74219, 9.27734, 1037.59770, 0.74809, 0.96947, 0.14504, 25.80000, -14.10000, 61.35000, 33.10950, 8,4.11593,0.07761,0.02744,0,20, 
118764, 3,28.27483,27600,25.64457,112.14700,705.16479,27.36434,27608,27.80951,142.09399,704.54120,-11.71875, 6.34766, 1028.32030, -0.57252, 0.01527, 1.32824, 27.15000, -14.70000, 61.20000, 33.25327, 8,4.05539,0.07647,0.02704,0,20, 
120505, 0,28.27451,27601,25.63906,112.29800,705.16479,27.36309,27608,27.79256,141.00900,704.54120,-3.41797, -1.46484, 1052.24610, -1.07634, 1.77099, -4.10687, 26.10000, -14.70000, 63.00000, 33.10950, 8,3.99664,0.07536,0.02664,0,20, 
122245, 0,28.27515,27601,25.61165,112.22200,705.16479,27.36403,27608,27.79825,140.29500,704.54120,-11.71875, -6.83594, 1035.15630, 0.03817, -0.08397, -1.32061, 26.40000, -14.70000, 60.75000, 33.15742, 8,3.93950,0.07429,0.02626,0,20, 
