millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
9627219,14.99,859,6.78,28.23,26450.62,991.699,23.926,22.949,9.656,3.359,-3.794,-49.500,-5.250,37.050,0,799,40.05,0.76,0.03,0,20,
9628804,15.00,857,6.78,27.94,26454.59,991.211,36.621,22.461,1.969,1.878,-0.565,-48.750,-1.800,38.100,2,800,40.05,0.76,0.03,0,20,
9630388,15.01,856,6.77,28.46,26454.59,1000.976,24.414,32.227,-15.870,1.573,6.099,-48.300,-7.800,37.200,0,793,39.84,0.75,0.03,0,20,
9631972,15.03,857,6.77,27.81,26458.56,1000.488,27.832,34.180,-19.252,3.603,-4.916,-48.450,-15.600,28.650,0,793,39.79,0.75,0.03,0,20,
9633560,15.04,856,6.77,28.06,26458.56,1004.883,25.879,29.785,-7.344,2.191,-4.573,-51.000,-17.100,18.750,0,795,39.84,0.75,0.03,0,20,
9635144,15.05,855,6.78,28.19,26466.51,1005.371,38.574,25.391,5.420,0.015,-0.847,-49.800,-16.950,20.400,0,797,39.88,0.75,0.03,0,20,
9636728,15.06,853,6.77,28.32,26470.49,1000.000,37.598,26.367,-3.252,-0.092,0.313,-49.500,-17.550,21.750,1,794,39.88,0.75,0.03,0,20,
9638312,15.07,852,6.77,27.85,26474.48,975.098,22.949,19.043,-12.977,-0.107,1.496,-49.950,-17.100,12.300,1,795,39.88,0.75,0.03,0,20,
9639899,15.08,853,6.77,28.17,26474.48,998.535,29.785,8.789,-11.046,0.168,0.290,-49.800,-15.750,3.750,0,796,39.88,0.75,0.03,0,20,
9641481,15.10,852,6.78,28.23,26478.47,1004.394,28.320,24.414,-3.458,1.763,-2.679,-50.400,-11.250,-0.150,0,797,39.87,0.75,0.03,0,20,
9643065,15.11,851,6.79,27.96,26482.47,996.582,35.156,26.367,0.099,5.176,-1.198,-50.400,-10.500,1.200,0,789,39.62,0.75,0.03,0,20,
9644649,15.12,849,6.76,27.70,26486.46,1003.906,21.484,32.715,-11.962,2.252,-1.718,-50.850,-9.300,-0.900,0,791,39.67,0.75,0.03,0,20,
9646237,15.13,848,6.84,27.87,26486.46,1005.859,37.109,32.715,-11.313,1.695,-0.389,-49.350,-2.100,-5.250,0,791,39.61,0.75,0.03,0,20,
9647822,15.14,848,6.82,27.83,26494.47,998.047,22.949,28.320,17.244,1.313,0.427,-49.200,-4.500,-6.900,0,792,39.61,0.75,0.03,0,20,
9649406,15.15,846,6.82,27.80,26498.48,994.629,23.926,20.996,16.786,3.466,-2.885,-50.100,-13.050,1.200,0,786,39.46,0.74,0.03,1,20,
9650991,15.16,846,6.77,27.87,26498.48,994.141,24.414,26.367,23.008,5.099,-0.099,-50.100,-16.200,13.200,0,786,39.40,0.74,0.03,0,20,
